Variant,SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
All touches,2.0,8.0,4.0,559,64,487,8,11.6,-0.814,-454.84,7.54,-2.0,-0.821,0.53,-534.84,-0.85
All touches,2.0,8.5,4.25,559,57,491,11,10.4,-0.882,-492.77,7.95,-1.99,-0.889,0.5,-591.77,-0.83
All touches,2.0,9.0,4.5,559,49,498,12,9.0,-0.985,-550.66,8.32,-1.99,-0.992,0.45,-635.66,-0.87
All touches,2.0,9.5,4.75,559,48,499,12,8.8,-0.962,-537.66,8.76,-1.99,-0.969,0.46,-632.66,-0.85
All touches,2.0,10.0,5.0,559,44,503,12,8.0,-1.005,-561.66,9.15,-1.99,-1.012,0.44,-661.66,-0.85
All touches,2.0,10.5,5.25,559,37,509,13,6.8,-1.105,-617.74,9.4,-1.99,-1.112,0.4,-697.24,-0.89
All touches,2.0,11.0,5.5,559,34,512,13,6.2,-1.142,-638.24,9.74,-1.99,-1.149,0.38,-723.24,-0.88
All touches,2.0,11.5,5.75,559,34,512,13,6.2,-1.111,-621.24,10.16,-1.99,-1.118,0.4,-711.74,-0.87
All touches,2.0,12.0,6.0,559,33,513,13,6.0,-1.106,-618.24,10.55,-1.99,-1.113,0.4,-714.24,-0.87
All touches,2.0,12.5,6.25,559,31,515,13,5.7,-1.128,-630.74,10.89,-1.99,-1.135,0.39,-732.24,-0.86
All touches,2.0,13.0,6.5,559,30,516,13,5.5,-1.127,-630.24,11.27,-1.99,-1.135,0.39,-744.24,-0.85
All touches,2.0,13.5,6.75,559,30,516,13,5.5,-1.101,-615.24,11.68,-1.99,-1.108,0.41,-742.24,-0.83
All touches,2.0,14.0,7.0,559,28,516,15,5.1,-1.112,-621.51,11.51,-1.99,-1.119,0.4,-761.51,-0.82
All touches,2.0,14.5,7.25,559,28,516,15,5.1,-1.087,-607.51,11.9,-1.99,-1.094,0.41,-760.51,-0.8
All touches,2.0,15.0,7.5,559,27,517,15,5.0,-1.092,-610.51,12.21,-1.99,-1.099,0.41,-776.51,-0.79
All touches,2.25,2.5,1.11,559,208,347,4,37.5,-0.468,-261.68,2.49,-2.25,-0.476,0.67,-299.18,-0.87
All touches,2.25,3.0,1.33,559,186,369,4,33.5,-0.489,-273.18,2.98,-2.25,-0.497,0.67,-303.75,-0.9
All touches,2.25,3.5,1.56,559,168,387,4,30.3,-0.507,-283.68,3.48,-2.25,-0.516,0.67,-317.75,-0.89
All touches,2.25,4.0,1.78,559,159,396,4,28.6,-0.458,-255.93,3.98,-2.25,-0.466,0.71,-287.75,-0.89
All touches,2.25,4.5,2.0,559,146,408,5,26.4,-0.465,-260.2,4.45,-2.25,-0.474,0.72,-326.25,-0.8
All touches,2.25,5.0,2.22,559,132,422,5,23.8,-0.516,-288.7,4.94,-2.25,-0.524,0.7,-345.75,-0.83
All touches,2.25,5.5,2.44,559,110,443,6,19.9,-0.695,-388.39,5.39,-2.25,-0.703,0.61,-423.89,-0.92
